Orth,Phon
before,/ɡ/
rhotic,/r/
dentem,/ˈden.tem/
consul,/ˈkon.sul/
single,/w/
puella,/pu.el.la/
favour,/kʷ/
denote,/iː/
censor,/ˈken.sor/
vowels,/i/
final,/s/
after,/n/
stops,/kʷ/
minae,/feː.mi.nae̯/
spell,/ks/
short,[ɨ]
cases,/m/
stop,/p/
ctus,/ko.aːk.tus/
long,/iː/
both,/i/
from,/w/
româ,/ˈroːmaː/
kris,/ˈwo.lu.kris/
for,/kk/
ris,/woˈluk.ris/
and,/kʷ/
tum,/straː.tum/
tae,/be.aː.tae̯/
nus,/ˈaː.nus/
xit,/in.tel.leːk.sit/
re,/wi.deː.re/
do,/ˈfa.ki.oː/
of,/h/
p,/p/
s,/s/
f,/f/
n,/n/
z,/z/
e,/e/
w,/w/
h,/h/
k,/k/
j,/j/
l,/l/
